Rk,Player,From,To,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,2004,2019,1198,1197,46235,9.2,18.3,0.504,1.3,3.9,0.343,7.9,14.4,0.548,5.6,7.6,0.736,1.1,5.8,6.9,6.7,1.5,0.7,3.2,1.7,25.3
2,Michael Jordan*,1985,2003,1072,1039,41011,10.7,21.5,0.497,0.5,1.6,0.327,10.2,20,0.51,6.4,7.7,0.835,1.5,4.4,5.9,4.9,2.2,0.8,2.6,2.4,28.3
