Rk,Player,From,To,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,2004,2019,1198,46235,27.6,0.586,0.214,0.413,3.7,18.3,11.2,35.8,2.2,1.6,13,31.5,,159.6,67,226.6,0.235,,7.3,1.9,9.1,129.8
2,Michael Jordan*,1985,2003,1072,41011,27.9,0.569,0.072,0.358,4.7,14.1,9.4,24.9,3.1,1.4,9.3,33.3,,149.9,64.1,214,0.25,,7,1.1,8.1,104.4
