Rk,Player,From,To,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,LeBron James,2004,2019,1198,1197,46235,13.3,26.5,0.504,1.9,5.7,0.343,11.4,20.8,0.548,8,10.9,0.736,1.6,8.4,10,9.8,2.2,1,4.7,2.5,36.7,,116,103
2,Michael Jordan*,1985,2003,1072,1039,41011,15.3,30.7,0.497,0.7,2.2,0.327,14.5,28.5,0.51,9.2,11,0.835,2.1,6.3,8.3,7,3.1,1.1,3.7,3.5,40.4,,118,103
