Rk,Player,From,To,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,2004,2019,1198,1197,38.6,9.9,19.6,0.504,1.4,4.2,0.343,8.4,15.4,0.548,0.541,6,8.1,0.736,1.2,6.2,7.4,7.2,1.6,0.8,3.5,1.8,27.2
2,Michael Jordan*,1985,2003,1072,1039,38.3,11.4,22.9,0.497,0.5,1.7,0.327,10.8,21.2,0.51,0.509,6.8,8.2,0.835,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1
