Rk,Player,From,To,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,LeBron James,2004,2019,1198,1197,46235,11838,23478,0.504,1727,5028,0.343,10111,18450,0.548,0.541,7140,9701,0.736,1443,7437,8880,8662,1937,921,4163,2207,32543
2,Michael Jordan*,1985,2003,1072,1039,41011,12192,24537,0.497,581,1778,0.327,11611,22759,0.51,0.509,7327,8772,0.835,1668,5004,6672,5633,2514,893,2924,2783,32292
